1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2900000027F37C21
Is Mission Active?  false
Mission Start:  Wed Aug 13 01:01:00 MST 2014
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2176
Total Samples:  4874
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/13/14 1:01:00 AM,C,8.5
8/13/14 5:01:00 AM,C,8.5
8/13/14 9:01:00 AM,C,8.5
8/13/14 1:01:00 PM,C,12.5
8/13/14 5:01:00 PM,C,9.5
8/13/14 9:01:00 PM,C,8.5
8/14/14 1:01:00 AM,C,8
8/14/14 5:01:00 AM,C,8
8/14/14 9:01:00 AM,C,7.5
8/14/14 1:01:00 PM,C,10
8/14/14 5:01:00 PM,C,10
8/14/14 9:01:00 PM,C,9
8/15/14 1:01:00 AM,C,8
8/15/14 5:01:00 AM,C,7.5
8/15/14 9:01:00 AM,C,7.5
8/15/14 1:01:00 PM,C,11.5
8/15/14 5:01:00 PM,C,10.5
8/15/14 9:01:00 PM,C,9.5
8/16/14 1:01:00 AM,C,8.5
8/16/14 5:01:00 AM,C,7.5
8/16/14 9:01:00 AM,C,7.5
8/16/14 1:01:00 PM,C,11
8/16/14 5:01:00 PM,C,10.5
8/16/14 9:01:00 PM,C,9.5
8/17/14 1:01:00 AM,C,8.5
8/17/14 5:01:00 AM,C,8
8/17/14 9:01:00 AM,C,7.5
8/17/14 1:01:00 PM,C,10.5
8/17/14 5:01:00 PM,C,12
8/17/14 9:01:00 PM,C,10
8/18/14 1:01:00 AM,C,9
8/18/14 5:01:00 AM,C,8
8/18/14 9:01:00 AM,C,7.5
8/18/14 1:01:00 PM,C,10
8/18/14 5:01:00 PM,C,12
8/18/14 9:01:00 PM,C,10
8/19/14 1:01:00 AM,C,9
8/19/14 5:01:00 AM,C,8
8/19/14 9:01:00 AM,C,7.5
8/19/14 1:01:00 PM,C,11
8/19/14 5:01:00 PM,C,9.5
8/19/14 9:01:00 PM,C,8.5
8/20/14 1:01:00 AM,C,8
8/20/14 5:01:00 AM,C,8
8/20/14 9:01:00 AM,C,7.5
8/20/14 1:01:00 PM,C,10.5
8/20/14 5:01:00 PM,C,10.5
8/20/14 9:01:00 PM,C,8.5
8/21/14 1:01:00 AM,C,7.5
8/21/14 5:01:00 AM,C,6.5
8/21/14 9:01:00 AM,C,6.5
8/21/14 1:01:00 PM,C,9.5
8/21/14 5:01:00 PM,C,9.5
8/21/14 9:01:00 PM,C,8.5
8/22/14 1:01:00 AM,C,7.5
8/22/14 5:01:00 AM,C,6.5
8/22/14 9:01:00 AM,C,7
8/22/14 1:01:00 PM,C,8.5
8/22/14 5:01:00 PM,C,8
8/22/14 9:01:00 PM,C,6.5
8/23/14 1:01:00 AM,C,6.5
8/23/14 5:01:00 AM,C,6.5
8/23/14 9:01:00 AM,C,6.5
8/23/14 1:01:00 PM,C,8
8/23/14 5:01:00 PM,C,9
8/23/14 9:01:00 PM,C,8
8/24/14 1:01:00 AM,C,7
8/24/14 5:01:00 AM,C,7
8/24/14 9:01:00 AM,C,7
8/24/14 1:01:00 PM,C,9.5
8/24/14 5:01:00 PM,C,9.5
8/24/14 9:01:00 PM,C,8
8/25/14 1:01:00 AM,C,7.5
8/25/14 5:01:00 AM,C,7
8/25/14 9:01:00 AM,C,7.5
8/25/14 1:01:00 PM,C,9
8/25/14 5:01:00 PM,C,9.5
8/25/14 9:01:00 PM,C,8.5
8/26/14 1:01:00 AM,C,7.5
8/26/14 5:01:00 AM,C,7
8/26/14 9:01:00 AM,C,7
8/26/14 1:01:00 PM,C,9.5
8/26/14 5:01:00 PM,C,9.5
8/26/14 9:01:00 PM,C,8
8/27/14 1:01:00 AM,C,6.5
8/27/14 5:01:00 AM,C,6
8/27/14 9:01:00 AM,C,6
8/27/14 1:01:00 PM,C,7.5
8/27/14 5:01:00 PM,C,8
8/27/14 9:01:00 PM,C,6
8/28/14 1:01:00 AM,C,5.5
8/28/14 5:01:00 AM,C,5.5
8/28/14 9:01:00 AM,C,5
8/28/14 1:01:00 PM,C,6.5
8/28/14 5:01:00 PM,C,8
8/28/14 9:01:00 PM,C,7
8/29/14 1:01:00 AM,C,5.5
8/29/14 5:01:00 AM,C,5
8/29/14 9:01:00 AM,C,5
8/29/14 1:01:00 PM,C,7
8/29/14 5:01:00 PM,C,9
8/29/14 9:01:00 PM,C,7.5
8/30/14 1:01:00 AM,C,6.5
8/30/14 5:01:00 AM,C,6
8/30/14 9:01:00 AM,C,6
8/30/14 1:01:00 PM,C,8
8/30/14 5:01:00 PM,C,9
8/30/14 9:01:00 PM,C,8
8/31/14 1:01:00 AM,C,7
8/31/14 5:01:00 AM,C,6.5
8/31/14 9:01:00 AM,C,6.5
8/31/14 1:01:00 PM,C,8
8/31/14 5:01:00 PM,C,9
8/31/14 9:01:00 PM,C,7.5
9/1/14 1:01:00 AM,C,7
